tree_name,tree_source,taxon,taxon_rank,kingdom,original_tree_ID,time_unit,time_factor,Nextant,Nextant_reference,original_publication,original_publication_details,ntip_tree,rho
Diaz.JO2016,Diaz2019,Corvides,infraorder,Metazoa,JO2016.tr.pr,Myr,1,780,Diaz2019,Jonssonetal2016,"Knud Andreas Jènsson, Pierre-Henri Fabre, Jonathan D. Kennedy, Ben G. Holt, Michael K. Borregaard, Carsten Rahbek, Jon FjeldsÔ, A supermatrix phylogeny of corvoid passerine birds (Aves: Corvides), Molecular Phylogenetics and Evolution, Volume 94, Part A, January 2016, Pages 87-94, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2015.08.020.",667,0.855128205
Diaz.L2012,Diaz2019,Pinidae,subclass,Viridiplantae,L2012.pr,Myr,1,629,Diaz2019,Leslieetal2012,"Leslie, A. B., J. M. Beaulieu, H. S. Rai, P. R. Crane, M. J. Donoghue, S. Mathews. 2012. Hemisphere-scale differences in conifer evolutionary dynamics. Proceedings of the National Academy of Sciences. 109 (40): 16217-16221.",489,0.777424483
Diaz.L2013,Diaz2019,Rhododendron,section,Viridiplantae,L2013,Myr,1,200,Diaz2019,Landisetal2013,"Landis MJ, Matzke NJ, Moore BR, Huelsenbeck JP (2013) Bayesian analysis of biogeography when the number of areas is large. Systematic Biology 62(6): 789-804. https://doi.org/10.1093/sysbio/syt040",65,0.325
Diaz.L2014,Diaz2019,Agama,genus,Metazoa,L2014.pr,Myr,1,45,Diaz2019,Leacheetal2014,"Adam D. Leach_, Philipp Wagner, Charles W. Linkem, Wolfgang B_hme, Theodore J. Papenfuss, Rebecca A. Chong, Brian R. Lavin, Aaron M. Bauer, Stuart V. Nielsen, Eli Greenbaum, Mark-Oliver R_del, Andreas Schmitz, Matthew LeBreton, Ivan Ineich, Laurent Chirio, Caleb Ofori-Boateng, Edem A. Eniang, Sherif Baha El Din, Alan R. Lemmon, Frank T. Burbrink, A hybrid phylogenetic_phylogenomic approach for species tree estimation in African Agama lizards with applications to biogeography, character evolution, and diversification, Molecular Phylogenetics and Evolution, 79:215-230",42,0.933333333
Diaz.L2016,Diaz2019,Odonata,order,Metazoa,L2016.cr.pr,Myr,1,7000,"Kalkmanet al.  (2008) Global diversity of dragonflies (Odonata) in freshwater. in Freshwater Animal Diversity Assessment. Zhang (2011) Phylum Arthropoda von Siebold, 1848. In Zhang (ed.) Animal biodiversity: An outline of higher-level classification and survey of taxonomic richness.; Tennessen (1997). Rate of species descriptions in Odonata. Entomological News. 108:122-126",Letschetal2016,"Letsch, H., Gottsberger, B. and Ware, J. L. (2016), Not going with the flow: a comprehensive time-calibrated phylogeny of dragonflies (Anisoptera: Odonata: Insecta) provides evidence for the role of lentic habitats on diversification. Mol Ecol, 25: 1340_1353. doi:10.1111/mec.13562",521,0.074428571
Diaz.MC2016a,Diaz2019,Balistidaea,family,Metazoa,MC2016a.cr.pr,Myr,1,42,Diaz2019,McCord&Westneat2016,"Charlene L. McCord, Mark W. Westneat, Phylogenetic relationships and the evolution of BMP4 in triggerfishes and filefishes (Balistoidea), Molecular Phylogenetics and Evolution, Volume 94, Part A, January 2016, Pages 397-409, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2015.09.014.",32,0.761904762
Diaz.MC2016b,Diaz2019,Monacanthidae,family,Metazoa,MC2016b.cr.pr,Myr,1,109,Diaz2019,McCord&Westneat2016,"Charlene L. McCord, Mark W. Westneat, Phylogenetic relationships and the evolution of BMP4 in triggerfishes and filefishes (Balistoidea), Molecular Phylogenetics and Evolution, Volume 94, Part A, January 2016, Pages 397-409, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2015.09.014.",48,0.440366972
Diaz.P2016,Diaz2019,Cephalotes,genus,Metazoa,P2016,Myr,1,131,"Andrade and Urbani (1999). Diversity and adaptation in the Ant Genus Cephalotes, Past and Present (Hymenoptera, Formicidae). Staatliches Museum fôr Naturkunde.",Priceetal2016,"Price, S. L., Etienne, R. S. and Powell, S. (2016), Tightly congruent bursts of lineage and phenotypic diversification identified in a continental ant radiation. Evolution, 70: 903_912. doi:10.1111/evo.12894",115,0.877862595
Diaz.P2017,Diaz2019,Testudinata,order,Metazoa,P2017,Myr,1,335,Diaz2019,Pereiraetal2017,"Anieli G. Pereira, Juliana Sterli, Filipe R.R. Moreira, Carlos G. Schrago, Multilocus phylogeny and statistical biogeography clarify the evolutionary history of major lineages of turtles, Molecular Phylogenetics and Evolution, Volume 113, August 2017, Pages 59-66, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2017.05.008.",292,0.871641791
Diaz.pg2689,Diaz2019,Lupinus,genus,Viridiplantae,pg2689.pr,Myr,1,267,Drummond (2012). Multiple continental radiations and correlates of diversification in Lupinus (Leguminosae): Testing for key innovation with incomoplete taxon sampling. Systematic Biology. 61:443-460,Drummondetal2012,"Drummond, C. S., Eastwood, R. J., Miotto, S. T., & Hughes, C. E. (2012). Multiple continental radiations and correlates of diversification in Lupinus (Leguminosae): testing for key innovation with incomplete taxon sampling. Systematic Biology 61(3), 443-460.",120,0.449438202
Diaz.pg2850,Diaz2019,Columbidae,family,Metazoa,pg2850,Myr,1,244,Diaz2019,Ciboisetal2014,"Cibois, Alice, Jean-Claude Thibault, C_line Bonillo, Christopher E. Filardi, Dick Watling, Eric Pasquet. 2014. Phylogeny and biogeography of the fruit doves (Aves: Columbidae). Molecular Phylogenetics and Evolution 70: 442-453.",55,0.225409836
Diaz.pg2853,Diaz2019,Trochilidae,family,Metazoa,pg2853,Myr,1,338,Diaz2019,McGuireetal2014,"McGuire, Jimmy A., Christopher C. Witt, J.V. Remsen, Ammon Corl, Daniel L. Rabosky, Douglas L. Altshuler, Robert Dudley. 2014. Molecular phylogenetics and the diversification of hummingbirds. Current Biology 24 (8): 910-916.",293,0.866863905
Diaz.PRE2017,Diaz2019,Temnothrorax,genus,Metazoa,PRE2017.cr.pr,Myr,1,390,Diaz2019,Prebus2017,"Prebus M (2017) Insights into the evolution, biogeography and natural history of the acorn ants, genus Temnothorax Mayr (hymenoptera: Formicidae). BMC Evolutionary Biology 17: 250. https://doi.org/10.1186/s12862-017-1095-8",97,0.248717949
Diaz.R2013,Diaz2019,Mormoopidae_Phyllostomidae,family,Metazoa,R2013,Myr,1,210,Diaz2019,Rojasetal2013,"D. ROJAS,D. ROJAS, C. A. MANCINA, J. J. FLORES-MART INEZ & L. NAVARRO C. A. MANCINA, J. J. FLORES-MART INEZ & L. NAVARRO (2013) Phylogenetic signal, feeding behaviour and brain volume in Neotropical bats. J . EVOL. BIOL. 26 ( 2013) 1925_1933 doi: 10.1111/jeb.12190",61,0.29047619
Diaz.R2018,Diaz2019,Phymaturus,genus,Metazoa,R2018.tr.pr,Myr,1,47,Diaz2019,Reaneyetal2018,"Reaney, A. M., Saldarriaga-C‹rdoba, M., & Pincheira-Donoso, D. (2018). Macroevolutionary diversification with limited niche disparity in a species-rich lineage of cold-climate lizards. BMC evolutionary biology, 18(1), 16.",37,0.787234043
Diaz.S2014.cr,Diaz2019,Poaceae,family,Viridiplantae,S2014.cr,Myr,1,11000,Diaz2019,Spriggsetal2014,"Spriggs EL, Christin PA, Edwards EJ (2014) C4 Photosynthesis Promoted Species Diversification during the Miocene Grassland Expansion. PLOS ONE 9(5): e97722. https://doi.org/10.1371/journal.pone.0097722",3595,0.326818182
Diaz.S2015,Diaz2019,Galliformes,order,Metazoa,S2015.tr.pr,Myr,1,291,Diaz2019,Steinetal2015,"R. Will Stein, Joseph W. Brown, Arne Ë. Mooers, A molecular genetic time scale demonstrates Cretaceous origins and multiple diversification rate shifts within the order Galliformes (Aves), Molecular Phylogenetics and Evolution, Volume 92, November 2015, Pages 155-164, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2015.06.005.",171,0.587628866
Diaz.SA2016,Diaz2019,Brassicaceae,family,Viridiplantae,SA2016.tr.pr,Myr,1,831,Diaz2019,Salariatoetal2016,"Salariato DL, Zuloaga FO, Franzke A, Mummenhoff K, Al-Shehbaz IA (2016) Diversification patterns in the CES clade (Brassicaceae tribes Cremolobeae, Eudemeae, Schizopetaleae) in Andean South America. Biological Journal of the Linnean Society 181(4): 543-566. https://doi.org/10.1111/boj.12430",222,0.267148014
Diaz.SamplePrimates,Diaz2019,Primates,order,Metazoa,SamplePrimates,Myr,1,501,Diaz2019,SamplePrimates,SampleFromBAMM,233,0.46506986
Diaz.SampleWhale.cr,Diaz2019,Ballenidae,family,Metazoa,SampleWhale.cr,Myr,1,91,Diaz2019,SampleWhale,SampleFromBAMM,87,0.956043956
Diaz.SH2015.cr,Diaz2019,Chiroptera,order,Metazoa,SH2015.cr,Myr,1,1200,Diaz2019,Shi&Rabosky2015,"Shi, J. J. and Rabosky, D. L. (2015), Speciation dynamics during the global radiation of extant bats. Evolution, 69: 1528_1545. doi:10.1111/evo.12681",812,0.676666667
Diaz.SH2016,Diaz2019,Pectinidae,family,Metazoa,SH2016.pr,Myr,1,300,Diaz2019,Sherrattetal2016,"Sherratt E, Alejandrino A, Kraemer AC, Serb JM, Adams DC (2016) Trends in the sand: directional evolution in the shell shape of recessing scallops (Bivalvia: Pectinidae). Evolution 70(9): 2061-2073. https://doi.org/10.1111/evo.12995",92,0.306666667
Diaz.SO2017,Diaz2019,Aedes,genus,Metazoa,SO2017.pr,Myr,1,929,Diaz2019,Soghigianetal2017,"Soghigian, J., Andreadis, T. G., & Livdahl, T. P. (2017). From ground pools to treeholes: convergent evolution of habitat and phenotype in Aedes mosquitoes. BMC evolutionary biology, 17(1), 262.",247,0.265877287
Diaz.T2018,Diaz2019,Cetartiodactyla,order,Metazoa,T2018.tr.pr,Myr,1,339,Diaz2019,Toljagicetal2018,"Olja Toljagi_, Kjetil L. Voje, Michael Matschiner, Lee Hsiang Liow, Thomas F. Hansen; Millions of Years Behind: Slow Adaptation of Ruminants to Grasslands, Systematic Biology, Volume 67, Issue 1, 1 January 2018, Pages 145_157, https://doi.org/10.1093/sysbio/syx059",182,0.536873156
Diaz.UC2015,Diaz2019,Rhinantheae,tribe,Viridiplantae,UC2015.tr,Myr,1,528,Diaz2019,UribeConvers&Tank2015,"Uribe-Convers S, Tank DC (2015) Shifts in diversification rates linked to biogeographic movement into new areas: an example of a recent radiation in the Andes. American Journal of Botany 102(11): 1854-1869. https://doi.org/10.3732/ajb.1500229",49,0.09280303
Cetacea_Steeman2009,Steeman2009,Cetacea,order,Metazoa,S10124,Myr,1,89,Steeman et al. (2009). Radiation of Extant Cetaceans Driven by Restructuring of the Oceans. Systematic Biology. 58:573-585,Steeman 2009,Steeman et al. (2009). Radiation of Extant Cetaceans Driven by Restructuring of the Oceans. Systematic Biology. 58:573-585,87,0.97752809
BACTERIA_EMBL,Louca2018,Bacteria,domain,bacteria,EMBL_99sim_FastTree_PATHd8,Myr,1.00E-06,5000000,Louca et al. (2019). A census-based estimate of Earth's bacterial and archaeal diversity. PLOS Biology. 17:e3000106,Louca 2018,Louca et al. (2018). Bacterial diversification through geological time. Nature Ecology & Evolution. 2:1458-1467,162371,0.0324742
Vascular_Plants_Zanne2014,Zanne2014,Vascular Plants,clade,Viridiplantae,Vascular_Plants_rooted.dated.tre,Myr,1,405124,Joppa et al (2011). How many species of flowering plants are there? Proceedings of the Royal Society B: Biological Sciences. 278:554-559,Zanne 2014,Zanne et al. (2014). Three keys to the radiation of angiosperms into freezing environments. Nature. 506:89-92,31749,0.078368598
Nightshade_plants_Goldberg2010,Goldberg2010,Solanaceae,family,Viridiplantae,NicSolPLML.tre,Myr,1,2700,Goldberg and Igic (2012). Tempo and mode in plant breeding system evolution. Evolution. 66:3701-3709,Goldberg 2012,Goldberg and Igic (2012). Tempo and mode in plant breeding system evolution. Evolution. 66:3701-3709,356,0.131851852
Birds_Jetz2012,Jetz2012,Birds,class,Metazoa,NA,Myr,1,9993,Jetz et al. (2014). Global distribution and conservation of evolutionary distinctness in birds. Current Biology. 24:919-930,Jetz 2012,Jetz et al (2012). The global diversity of birds in space and time. Nature. 491:444-448,6670,0.667467227
Agaricomycetes_Varga2019,Varga2019,Agaricomycetes,class,Fungi,NA,Myr,1,21000,Kirk et al. (2011). Dictionary of the Fungi. CABI International,Varga 2019,Varga et al. (2019). Megaphylogeny resolves global patterns of mushroom evolution. Nature Ecology & Evolution. 3:668-678,5284,0.251619048
Fish_Chang2019,Chang2019,Fish,superclass,Metazoa,NA,Myr,1,31516,Rabosky et al. (2018). An inverse latitudinal gradient in speciation rate for marine fishes. Nature. 559:392-395,Chang 2019,Chang et al. (2019). An R package and online resource for macroevolutionary studies using the ray-finned fish tree of life. Methods in Ecology and Evolution. 10:1118-1124,11638,0.36927275
Ferns_Testo2016,Testo2016,Ferns,class,Plantae,NA,Myr,1,13000,The Plant List (2013). Version 1.1. http://www.theplantlist.org,Testo 2016,Testo and Sundue (2016). A 4000-species dataset provides new insight into the evolution of ferns. Molecular Phylogenetics and Evolution. 105:200-211,3973,0.305615385
Chondrichthyes_Stein2018,Stein2018,Chondrichthyans,class,Metazoa,NA,Myr,1,1192,Stein 2018,Stein 2018,"Stein et al. (2018). Global priorities for conserving the evolutionary history of sharks, rays and chimaeras. Nature Ecology & Evolution. 2:288-298",609,0.51090604
Amphibians_Jetz2018,Jetz2018,Amphibians,class,Metazoa,NA,Myr,1,7238,Jetz and Pyron (2018). The interplay of past diversification and evolutionary isolation with present imperilment across the amphibian tree of life. Nature Ecology & Evolution. 2:850-858,Jetz 2018,Jetz and Pyron (2018). The interplay of past diversification and evolutionary isolation with present imperilment across the amphibian tree of life. Nature Ecology & Evolution. 2:850-858,4061,0.561066593
Squamates_Tonini2016,Tonini2016,Squamates,order,Metazoa,NA,Myr,1,9755,Tonini et al. (2016). Fully-sampled phylogenies of squamates reveal evolutionary patterns in threat status. Biological Conservation. 204:23-31.,Tonini 2016,Tonini et al. (2016). Fully-sampled phylogenies of squamates reveal evolutionary patterns in threat status. Biological Conservation. 204:23-31.,5416,0.55520246
GBOTB,SmithBrown2018,Seed Plants,clade,Viridiplantae,NA,Myr,1,"353,185",Smith and Brown 2018,Smith and Brown 2018,"Smith, S. A., & Brown, J. W. (2018). Constructing a broadly inclusive seed plant phylogeny.†American Journal of Botany,†105(3), 302-314.",79881,0.226173252
Mammals_Upham,Upham2019,Mammals,class,Metazoa,NA,Myr,Myr,5911,Upham 2019,Upham 2019,"Upham, N.,†J. A. Esselstyn, and†W. Jetz.†2019.†Inferring the mammal tree: species?level sets of phylogenies for questions in ecology, evolution, and conservation.†PLoS Biol.†17:e3000494.",4099,0.693452884
